"","HHId","ComunID","ComunSize","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","HHWealthZ","HHWealthAZ","HHWealthTZ","HHWealthIZ","AgeCorWealth","AgeCorWealthA","AgeCorWealthT","AgeCorWealthI","Gini.2","Gini.AgeCor.2","WealthCnt.2","Gini.3","Gini.AgeCor.3","WealthCnt.3","Gini","Gini.AgeCor","MeanWealth","MeanWealth.AgeCor","MeanWealthZ","MedianWealth","MedianWealth.AgeCor","MedianWealthZ","HHCnt","HHSize"
"33","HH0027",110,76,2,8612.5,1365,4491.435,14468.935,2,1,49,101,1.217,1.715,-0.123,0.163,14606.6631281812,8815.32988281746,1373.92927678282,4715.01986963841,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,10
"34","HH0028",110,76,2,785,1080,5392.385,7257.385,3,1,38,101,0.274,0.173,-0.2,0.861,8911.59098366793,959.106107101331,1279.20526869369,6927.74662605146,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,7
"35","HH0029",110,76,2,55,820,4114.07,4989.07,2,1,75,101,-0.034,-1.151,-0.209,0.471,7461.32892060417,139.340539793896,1268.01709697232,5619.30609505962,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,3
"36","HH0030",110,76,2,585,800,5424.485,6809.485,3,1,54,101,-0.229,-0.193,-0.664,0.388,6635.26619116562,582.252392684429,801.202665058595,5364.9752293785,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,5
"37","HH0031",110,76,2,557.5,930,4317.9,5805.4,2,1,43,101,-0.273,-0.177,-0.444,0.301,6459.36877356091,595.167703589995,1008.087717712,5107.19647391384,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,6
"38","HH0032",110,76,2,1812.5,920,4876.005,7608.505,2,1,38,101,0.352,0.807,-0.364,0.699,9308.35299480971,2304.14676955587,1091.64925034907,6360.79527577262,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,6
"39","HH0033",110,76,2,1427.5,1815,5131.525,8374.025,2,1,73,101,0.568,0.733,0.602,0.678,10473.1170743078,2078.03260167037,2549.98086324278,6290.18546107573,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,4
"40","HH0034",110,76,2,510,1050,2147.21,3707.21,4,1,51,101,-1.114,-0.291,-0.407,-0.958,3670.82284192864,508.511317710598,1045.86638873188,2250.13079990657,0.241831368038602,0.248159327160846,11,NA,NA,NA,0.241831368038602,0.248159327160846,6452.01454545455,8531.41076175729,0.0664545454545454,5805.4,7461.32892060417,-0.034,11,8
"41","HH0035",85,27,2,2347.5,2790,4455.195,9592.695,NA,1,40,136,0.663,0.951,0.861,0.465,11017.2567195741,2830.7644856482,3117.16011499548,5601.63058016764,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,2
"42","HH0036",85,27,3,752.5,3555,4662.865,8970.365,NA,1,30,136,1.24,0.348,1.501,1.363,14771.8002669417,1217.92376964536,4938.42023066299,8908.9134114524,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,7
"43","HH0037",85,27,3,360,2640,493.1,3493.1,3,1,63,136,-1.044,-0.541,0.799,-2.227,3861.85155340706,358.170247240965,2971.49278556426,691.434093512426,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,6
"44","HH0038",27,145,3,3445,3070,726.87,7241.87,NA,1,37,85,0.433,1.254,1.023,-1.432,9731.83094228424,4392.30202467036,3517.34313315203,1537.02513262488,0.311044238733179,0.213118655880488,32,0.296978245636442,0.161886780639171,21,0.32071625934276,0.201628769012103,8529.99863095238,11639.7324693237,0.646333333333333,8084.42875,10886.3257778232,0.6405,42,1
"45","HH0038",85,27,2,3452.5,4920,5157.965,13530.465,NA,1,31,136,1.891,1.46,2.047,1.294,20039.6178173063,5966.65144202687,7090.16561964879,8615.54383172303,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,1
"46","HH0039",85,27,2,1395,430,961.65,2786.65,NA,1,47,136,-1.413,0.468,-1.165,-1.666,2925.01947566411,1437.69649702101,439.017854279379,1246.1991632515,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,2
"47","HH0040",85,27,2,1222.5,2620,723.83,4566.33,NA,1,32,136,0.014,0.695,1.107,-1.046,7674.71835094556,1969.63647483318,3739.47732785735,2103.72220160364,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,2
"48","HH0041",85,27,2,1745,5155,6074.165,12974.165,4,1,49,136,0.998,0.615,1.57,0.683,13099.40779656,1762.41644158322,5177.42662766943,6305.46218678421,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,4
"49","HH0041",27,145,3,6062.5,2930,3898.6,12891.1,NA,1,56,85,0.949,1.367,0.807,0.004,12778.2898119337,5189.06730667592,2990.14033994994,4288.23681107538,0.311044238733179,0.213118655880488,32,0.296978245636442,0.161886780639171,21,0.32071625934276,0.201628769012103,8529.99863095238,11639.7324693237,0.646333333333333,8084.42875,10886.3257778232,0.6405,42,4
"50","HH0042",85,27,2,4692.5,2790,5909.665,13392.165,2,1,51,136,1.025,1.288,0.712,0.587,13277.5274404393,4615.68618531883,2779.75969893707,5989.05464436904,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,5
"51","HH0042",85,27,3,3287.5,3340,5096.355,11723.855,3,1,58,136,0.774,0.975,0.979,0.466,11674.3485858501,2926.17154899747,3405.0007079214,5602.41407601406,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,5
"52","HH0043",85,27,3,1717.5,3040,4476.985,9234.485,NA,1,36,136,0.86,0.777,1.042,0.85,12205.755038038,2210.22474346793,3566.11412523661,6887.95332526404,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,3
"53","HH0044",85,27,2,350,250,3367.1,3967.1,NA,1,33,136,-0.287,-0.307,-1.315,0.481,6403.107832791,497.654090802083,356.256064349909,5651.70756597185,0.279511502642007,0.270670500308027,7,0.186677417631992,0.195591122480458,4,0.271030286311823,0.267505234083583,8167.3365,10447.4472864373,0.38215,9102.425,11611.505878806,0.7615,10,2
"54","HH0045",13,49,3,1565,2670,7249.785,11484.785,NA,0,48,66,0.865,0.499,0.704,1.235,12237.0297919371,1499.17072548508,2763.11453844802,8372.03917381488,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"55","HH0045",13,49,2,380,940,5533.77,6853.77,NA,0,41,66,0.055,-0.435,-0.402,0.775,7862.8493487174,415.855880395494,1051.50636037668,6622.20420128326,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"56","HH0046",13,49,2,20,50,4001.53,4071.53,NA,1,33,66,-0.249,-1.822,-2.062,0.73,6553.526100007,25.2294582900487,72.8313715092801,6466.06140788102,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"57","HH0047",13,49,3,1270,2740,7511.79,11521.79,NA,1,45,66,0.93,0.369,0.768,1.375,12653.987911905,1253.45798489347,2902.17556833891,8961.78490536301,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"58","HH0047",13,49,2,3730,3990,9085.845,16805.845,NA,1,38,66,1.803,1.327,1.383,1.79,19256.9817169495,4888.52708849854,4550.86422092395,10884.0134220228,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"59","HH0048",13,49,2,200,570,497.02,1267.02,2,1,22,66,-0.75,-0.143,0.09,-0.585,4744.70470555458,623.632905546311,1664.93847644363,2938.25551795153,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,4
"60","HH0049",13,49,3,80,580,4388.04,5048.04,NA,1,73,66,-0.038,-1.22,-0.479,0.617,7443.49690825558,123.332793857658,973.22506966901,6086.65391137295,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"61","HH0049",27,145,2,170,720,7594.245,8484.245,NA,1,67,85,0.301,-0.848,-0.544,1.079,9045.17477095768,228.116038123838,909.433861826267,7744.53884490117,0.311044238733179,0.213118655880488,32,0.296978245636442,0.161886780639171,21,0.32071625934276,0.201628769012103,8529.99863095238,11639.7324693237,0.646333333333333,8084.42875,10886.3257778232,0.6405,42,2
"62","HH0050",13,49,2,170,530,1358.76,2058.76,NA,1,30,66,-0.913,-0.741,-0.567,-0.357,4240.75327654718,268.138518357616,887.730312268315,3421.70072785974,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"63","HH0051",13,49,3,1435,3290,8495.85,13220.85,NA,1,40,66,1.26,0.54,1.037,1.736,14916.9968402709,1587.65489587966,3553.44256169691,10618.1287860434,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
"64","HH0052",13,49,2,0,0,210.925,210.925,NA,1,71,66,-2.874,-1.862,-1.941,-1.857,670.009283099316,20.6771999418784,106.394548783966,1036.14608192271,0.562858500928805,0.381038553502975,7,0.14872900281075,0.120829245531304,4,0.488229994489737,0.337105645387388,5599.31611111111,7760.6157620064,-0.258833333333333,4071.53,6553.526100007,-0.249,9,2
