"","HHId","ComunID","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","ComunSize","HHSize"
"472","HH0380",40,3,375,800,1611.36,2786.36,NA,1,32,16,277,4
"473","HH0381",40,3,90,945,1711.05,2746.05,0,1,45,16,277,5
"474","HH0381",40,2,2327.5,995,4937.415,8259.915,2,1,38,16,277,5
"475","HH0382",40,2,335,3085,10533.43,13953.43,NA,1,36,16,277,7
"476","HH0382",40,3,627.5,1085,2833.555,4546.055,0,1,43,16,277,7
"477","HH0383",40,2,9080,1415,8181.945,18676.945,NA,1,61,16,277,7
"478","HH0383",40,3,655,795,1650.58,3100.58,2,1,68,16,277,7
"479","HH0384",40,2,360,2510,5847.995,8717.995,5,1,54,16,277,9
"480","HH0384",40,3,842.5,1045,8011.525,9899.025,2,1,61,16,277,9
"481","HH0385",40,2,252.5,2360,676.92,3289.42,NA,1,21,16,277,3
"482","HH0386",40,2,232.5,925,2401.95,3559.45,NA,1,31,16,277,2
"483","HH0387",40,2,0,0,4165.3,4165.3,NA,1,62,16,277,2
"484","HH0388",40,3,535,1230,4245.295,6010.295,NA,1,60,16,277,10
"485","HH0388",40,2,2045,2295,7182.865,11522.865,1,1,53,16,277,10
"486","HH0389",40,3,365,60,460.05,885.05,NA,1,23,16,277,3
"487","HH0390",40,3,1815,0,1912.245,3727.245,NA,1,39,16,277,7
"488","HH0390",40,2,14785,885,2518.66,18188.66,3,1,32,16,277,7
"489","HH0391",40,2,182.5,1325,4675.44,6182.94,NA,1,74,16,277,2
"490","HH0392",40,3,500,1160,5582.95,7242.95,NA,1,34,16,277,7
"491","HH0393",40,2,1712.5,1095,2347.465,5154.965,2,1,30,16,277,7
"492","HH0394",40,3,632.5,490,903.705,2026.205,NA,1,32,16,277,5
"493","HH0395",40,3,165,360,3448.8,3973.8,NA,1,21,16,277,3
"494","HH0396",40,3,422.5,490,1225.59,2138.09,NA,1,37,16,277,6
"495","HH0396",40,2,2030,985,3959.16,6974.16,NA,1,30,16,277,6
"496","HH0397",40,2,2417.5,490,4457.61,7365.11,NA,0,48,16,277,2
"497","HH0398",40,2,402.5,750,1276.98,2429.48,NA,1,22,16,277,1
"498","HH0399",40,3,1042.5,2490,2531.55,6064.05,NA,1,34,16,277,6
"499","HH0400",40,2,610,460,1291.18,2361.18,NA,1,21,16,277,3
"500","HH0401",40,2,492.5,2935,11151.345,14578.845,2,1,40,16,277,11
"501","HH0402",40,2,340,0,2114.07,2454.07,NA,1,28,16,277,2
"502","HH0403",40,3,437.5,735,3649.395,4821.895,NA,1,32,16,277,4
"503","HH0404",122,3,40,720,5916.745,6676.745,3,1,47,28,57,8
"504","HH0405",122,3,645,350,3987.95,4982.95,1,1,34,28,57,4
"505","HH0406",122,3,185,500,1337.37,2022.37,NA,1,23,28,57,3
"506","HH0407",122,3,115,790,4661.735,5566.735,NA,1,35,28,57,9
"507","HH0408",122,3,380,410,671.975,1461.975,NA,1,27,28,57,4
"508","HH0409",122,3,1225,410,4996.66,6631.66,NA,1,60,28,57,8
"509","HH0410",122,3,19510,630,1192.72,21332.72,2,0,41,28,57,4
"510","HH0411",122,3,0,260,415.455,675.455,NA,1,16,28,57,3
"511","HH0412",122,3,0,260,898.415,1158.415,NA,1,23,28,57,3
"512","HH0413",122,3,38305,680,4003.1,42988.1,NA,1,35,28,57,9
"513","HH0414",122,3,400,780,1790,2970,NA,0,28,28,57,6
"514","HH0415",122,3,197.5,710,1179.32,2086.82,NA,1,19,28,57,3
"515","HH0416",122,3,2315,50,473.35,2838.35,NA,1,25,28,57,5
"516","HH0417",122,3,0,50,959.975,1009.975,NA,1,22,28,57,3
"517","HH0418",122,3,125,470,5270.16,5865.16,2,1,45,28,57,7
"518","HH0419",122,3,360,350,240.85,950.85,NA,1,17,28,57,3
"519","HH0420",122,3,162.5,620,764.88,1547.38,NA,1,31,28,57,6
"520","HH0421",122,3,130,470,563.92,1163.92,NA,1,30,28,57,5
"521","HH0422",203,2,0,310,597.475,907.475,NA,1,28,50,78,5
"522","HH0423",203,2,145,320,483.1,948.1,NA,1,28,50,78,4
